mz	intensity	ms runs	percentage	theoretical m/z	delta PPM	primary identification	other identifications
296.68198	63.9	6/85	1.5%	?	?	?	?
296.68757	25.2	6/85	0.9%	?	?	?	?
296.70026	30.5	6/85	0.7%	?	?	?	?
296.80836	26.5	4/85	1.2%	?	?	?	?
296.82834	33.6	2/85	1.7%	?	?	?	?
296.84476	25.2	4/85	0.8%	?	?	?	?
296.89914	19.0	1/85	0.7%	?	?	?	?
297.01874	24.0	1/85	0.7%	?	?	?	?
297.02414	9.8	1/85	1.1%	?	?	?	?
297.04202	23.8	1/85	1.2%	?	?	?	?
297.06439	35.4	4/85	1.9%	297.0652	2.73	b(CNN)-H2O-NH3	['b(C[Carbamidomethyl]GN)-H2O-NH3', 'y(M[Oxidation]M[Oxidation])-NH3+i']
297.08261	140.9	6/85	2.2%	?	?	?	?
297.08467	12.8	4/85	0.8%	?	?	?	?
297.09037	11.6	5/85	0.6%	297.09035	-0.07	a(ADM[Acetyl])-H2O-NH3	['b(AEM)-H2O-NH3', 'b(AM[Acetyl]S)-H2O-NH3', 'b(CDI)-H2O-NH3', 'b(CDL)-H2O-NH3', 'b(CEV)-H2O-NH3', 'a(DM[Oxidation]P)-H2O-NH3', 'a(EGM[Acetyl])-H2O-NH3', 'b(GM[Acetyl]T)-H2O-NH3', 'b(M[Oxidation]PS)-H2O-NH3', 'a(DDQ)-H2O-NH3+i', 'a(DEN)-H2O-NH3+i', 'b(DNT)-H2O-NH3+i', 'b(DQS)-H2O-NH3+i', 'b(ENS)-H2O-NH3+i']
297.11329	59.5	1/85	1.6%	?	?	?	?
297.11936	28.7	31/85	1.6%	297.11935	-0.03	b(ADQ)-H2O	['b(AEN)-H2O', 'b(ANQ)-NH3', 'y(AHS)-NH3', 'y(ANQ)-H2O-NH3', 'b(EGQ)-H2O', 'b(GQQ)-NH3', 'y(GHT)-NH3', 'y(GQQ)-H2O-NH3', 'b(ACR)-H2O-NH3+i', 'a(CHT)-H2O+i', 'a(GHM[Oxidation])-H2O+i']
297.13735	15.5	3/85	1.0%	297.13797	2.09	a(AC[Carbamidomethyl]K)-H2O-NH3	['a(CKQ)-H2O-NH3', 'a(MNP)-H2O', 'a(ADH)+i', 'b(AHS)+i', 'a(EGH)+i', 'b(GHT)+i', 'b(ANQ)-H2O+i', 'y(AHS)-H2O+i', 'a(DRS)-H2O-NH3+i', 'b(GQQ)-H2O+i', 'y(GHT)-H2O+i', 'b(RSS)-H2O-NH3+i']
297.1558	66.4	60/85	4.5%	297.15573	-0.24	b(APQ)	['b(ADK)-H2O', 'b(AKN)-NH3', 'y(AKN)-H2O-NH3', 'y(APQ)-H2O', 'a(DIN)-H2O', 'a(DLN)-H2O', 'a(DQV)-H2O', 'a(ENV)-H2O', 'b(EGK)-H2O', 'b(GKQ)-NH3', 'y(GKQ)-H2O-NH3', 'a(INN)-NH3', 'b(INS)-H2O', 'a(LNN)-NH3', 'b(LNS)-H2O', 'a(NQV)-NH3', 'b(NTV)-H2O', 'b(QSV)-H2O', 'a(AMR)-H2O-NH3+i', 'a(CRV)-H2O-NH3+i']
297.16138	25.6	4/85	1.0%	?	?	?	?
297.16677	10.2	2/85	1.0%	297.16696	0.64	a(ADR)-H2O	['a(ANR)-NH3', 'b(ARS)-H2O', 'a(EGR)-H2O', 'a(GQR)-NH3', 'b(GRT)-H2O']
297.17362	11.6	2/85	0.8%	297.17436	2.49	a(CKK)-H2O-NH3	['a(HSV)+i', 'b(AKN)-H2O+i', 'b(GKQ)-H2O+i', 'b(GRV)-NH3+i', 'y(GRV)-H2O-NH3+i', 'a(INN)-H2O+i', 'a(LNN)-H2O+i', 'a(NQV)-H2O+i', 'a(PRS)-NH3+i', 'a(RTT)-H2O-NH3+i']
297.17962	49.2	6/85	1.6%	297.17909	-1.78	a(L[Acetyl]W)-H2O+i	['a(FPP)-H2O+i', 'a(DII)-NH3', 'a(DIL)-NH3', 'a(DLL)-NH3', 'a(EIV)-NH3', 'a(ELV)-NH3', 'b(IIS)-NH3', 'b(ILS)-NH3', 'b(ITV)-NH3', 'y(IIS)-H2O-NH3', 'y(ILS)-H2O-NH3', 'y(ITV)-H2O-NH3', 'b(LLS)-NH3', 'b(LTV)-NH3', 'y(LLS)-H2O-NH3', 'y(LTV)-H2O-NH3', 'a(L[Acetyl]SV)-NH3', 'y(PVV)-NH3']
297.18464	25.0	3/85	1.3%	?	?	?	?
297.18483	38.8	2/85	1.9%	297.1863	4.95	b(RR)-NH3+i	['y(RR)-H2O-NH3+i', 'a(ANR)-H2O+i', 'a(GQR)-H2O+i']
297.19217	40.5	31/85	2.2%	297.19212	-0.17	b(AKP)	['a(INP)', 'a(LNP)', 'a(PQV)', 'y(AKP)-H2O', 'a(DKV)-H2O', 'b(GKK)-NH3', 'y(GKK)-H2O-NH3', 'a(IQT)-H2O', 'a(KNV)-NH3', 'b(KSV)-H2O', 'a(LQT)-H2O']
297.20346	170.9	6/85	4.3%	297.20335	-0.37	a(APR)	['a(GKR)-NH3', 'a(RSV)-H2O']
297.22859	17.1	1/85	0.8%	297.2285	-0.3	a(KPV)	['a(IKT)-H2O', 'a(KLT)-H2O']
297.25403	22.0	1/85	0.2%	?	?	?	?
297.29817	39.8	2/85	0.3%	?	?	?	?
297.65346	19.5	4/85	0.5%	?	?	?	?
297.67169	64.9	6/85	1.5%	?	?	?	?
297.67719	24.2	4/85	0.8%	?	?	?	?
297.68989	27.2	5/85	1.0%	?	?	?	?
297.70797	20.2	2/85	0.5%	?	?	?	?
297.81592	21.9	3/85	1.1%	?	?	?	?
297.82661	37.0	4/85	1.2%	?	?	?	?
297.98044	26.1	1/85	0.4%	?	?	?	?
298.00828	30.7	1/85	0.9%	?	?	?	?
298.0189	21.7	1/85	0.8%	?	?	?	?
298.02631	13.3	1/85	1.2%	?	?	?	?
