124.0756	81	[124.07568621528999, 9e-05, 'a-SV-H2O-NH3']	[124.07569089898999, 9e-05, 'a-AP-NH3']
124.0806	536
124.0869	106
124.112	84
124.5822	151
124.9998	64
125.0595	251
125.0709	633	[125.07093531630001, 4e-05, 'b-AA-H2O']
125.096	32
125.1073	66	[125.10732531629999, 3e-05, 'a-AV-H2O']	[125.10732531629999, 3e-05, 'a-GI-H2O']	[125.10732531629999, 3e-05, 'a-GL-H2O']
126.0515	136
126.052	43
126.0549	2903	[126.05495089899, 5e-05, 'b-AA-NH3']	[126.05495621529, 6e-05, 'a-ST-H2O-NH3']	[126.05495621529, 6e-05, 'y-AA-H2O-NH3']
126.0662	49	[126.06618531630001, 0.0, 'a-GGG-H2O']	[126.06618531630001, 0.0, 'a-GN-H2O']
126.0913	385	[126.09134089898998, 4e-05, 'a-AV-NH3']	[126.09134089898998, 4e-05, 'a-GI-NH3']	[126.09134089898998, 4e-05, 'a-GL-NH3']
126.1245	2631
126.1277	23770
126.1304	54
126.1313	59
127.0389	367
127.0501	710	[127.05020089899, 0.0001, 'a-GGG-NH3']	[127.05020089899, 0.0001, 'a-GN-NH3']	[127.0502053163, 0.00011, 'a-DG-H2O']	[127.0502053163, 0.00011, 'b-GS-H2O']
127.0581	176
127.0752	77
127.0865	2361	[127.0865853163, 9e-05, 'a-AT-H2O']	[127.08659, 9e-05, 'a-GP']
127.1214	4521
127.1248	17133
127.1276	125
127.1281	397
127.1287	96
127.131	17282
127.1339	116
127.1362	114
128.0817	180
128.0899	49
128.098	69
128.107	133
128.1228	32
128.1244	1427
128.1249	917
128.1281	14761
128.1312	367
128.1343	17224
128.1378	191
128.1398	54
129.0545	32
129.0657	3708	[129.06585, 0.00015, 'IQ+CO']	[129.06585, 0.00015, 'b-AG']	[129.06585, 0.00015, 'b-Q']	[129.0658553163, 0.00016, 'a-SS-H2O']	[129.0658553163, 0.00016, 'y-AG-H2O']	[129.0658553163, 0.00016, 'y-Q-H2O']
129.0697	344
129.1022	1647	[129.10223, 3e-05, 'IK+CO']	[129.10223531629998, 4e-05, 'IK+CO+H2O-H2O']	[129.10223531629998, 4e-05, 'y-K-H2O']	[129.10224, 4e-05, 'a-GV']	[129.10224, 4e-05, 'b-K']
129.1134	392	[129.11347, 7e-05, 'IR']
129.1261	58
129.1278	2518
129.1283	640
129.1289	53
129.1315	19341
129.1347	159
129.1376	16863
129.1406	91
129.143	106
130.0498	1764	[130.0498653163, 7e-05, 'y-E-H2O']	[130.04987, 7e-05, 'b-E']	[130.04987089899, 7e-05, 'a-SS-NH3']	[130.04987089899, 7e-05, 'y-AG-NH3']	[130.04987089899, 7e-05, 'y-Q-NH3']
130.061	200
130.0618	69
130.0628	338
130.0634	30
130.065	2573	[130.06512, 0.00012, 'IW-CH3N']	[130.0651253163, 0.00013, 'b-F-H2O']
130.0686	34	[130.06925, 0.00065, 'b-Q+i']
130.069	43	[130.0692553163, 0.00026, 'y-Q+i-H2O']
130.0862	532	[130.08625, 5e-05, 'IK+CO+H2O-NH3']	[130.08625089899, 5e-05, 'IK+CO+H2O-NH3']	[130.08625089899, 5e-05, 'y-K-NH3']
130.0974	2118
130.1055	44	[130.10563531629998, 0.00014, 'y-K+i-H2O']	[130.10564, 0.00014, 'b-K+i']
130.1309	166
130.1314	1934
130.1319	238
130.1349	13464
130.1379	126
130.1384	157
130.141	19878
130.1442	133
130.1466	64
131.0491	93	[131.04914089899, 4e-05, 'b-F-NH3']	[131.04914621529002, 5e-05, 'y-F-H2O-NH3']
131.0666	32
131.0684	252	[131.0685253163, 0.00013, 'b-F+i-H2O']
131.0702	517
131.0814	722	[131.0815, 0.0001, 'a-AS']	[131.0815, 0.0001, 'a-GT']
131.0854	953
131.1177	557
131.1343	323
131.1348	908
131.1354	102
131.1381	25672
131.141	115
131.1416	53
131.144	3254
131.1475	55
132.0565	51
132.0695	1311
132.0737	44
132.0766	287
132.0807	969	[132.08077, 7e-05, 'IW-CHN']	[132.08077621528997, 8e-05, 'a-PP-H2O-NH3']
132.1018	231	[132.10191, 0.00011, 'y-I']	[132.10191, 0.00011, 'y-L']
132.1414	4491
132.1445	100
133.0395	137
133.0401	36
133.0429	4186	[133.04301, 0.00011, 'IC[Carbamidomethyl]']	[133.04301, 0.00011, 'a-CG']
133.0607	408	[133.06077, 7e-05, 'y-GG']	[133.06077, 7e-05, 'y-N']
133.0646	283
133.0729	33
133.0824	68
133.0841	42
133.0858	1500
133.097	767
133.101	343
133.5874	69
134.0447	34	[134.04478, 8e-05, 'y-D']
