mean monoisotopic m/z	average intensity	ms runs	percentage of spectra	theoretical m/z	delta PPM	primary identification	other identifications	labels
210.10691	3.5	19/100	4.9%	210.10665	-1.24	b{AH}+i	y{AH}-H2O+i, a{DR}-H2O-NH3+i, b{RS}-H2O-NH3+i	
210.12368	3.0	50/100	1.9%	210.1237	0.1	b{IN}-H2O	b{LN}-H2O, b{QV}-H2O, a{APS}-H2O, b{AGV}-H2O, a{GPT}-H2O, b{GGI}-H2O, b{GGL}-H2O, a{GKS}-H2O-NH3	
210.1389	2.6	3/100	0.6%	?	?	?	?	
210.14316	1.4	6/100	1.2%	210.14304	-0.57	a{HV}+i	a{PR}-NH3+i	
210.14885	1.1	11/100	3.8%	210.14886	0.05	b{II}-NH3	b{IL}-NH3, b{LL}-NH3, y{II}-H2O-NH3, y{IL}-H2O-NH3, y{LL}-H2O-NH3, a{L[Acetyl]V}-NH3	
210.15734	0.8	3/100	1.3%	?	?	?	?	
210.1601	2.1	14/100	2.1%	210.16009	-0.05	b{KV}-H2O	a{AAI}-H2O, a{AAL}-H2O, a{GVV}-H2O	
210.18513	3.1	3/100	1.6%	?	?	?	?	
210.63951	2.4	12/100	1.4%	?	?	?	?	
210.90473	1.0	7/100	1.5%	?	?	?	?	
210.95014	2.7	30/100	1.4%	?	?	?	?	
210.99093	2.1	12/100	0.9%	?	?	?	?	
211.00517	0.8	3/100	1.9%	?	?	?	?	
211.02053	1.0	12/100	0.7%	?	?	?	?	
211.05361	2.7	3/100	0.8%	211.05358	-0.14	b{MN}-H2O-NH3	b{AAC}-H2O-NH3, b{GGM}-H2O-NH3	
211.06003	3.8	11/100	3.2%	?	?	?	?	
211.07131	3.0	15/100	1.0%	211.07133	0.09	a{ADS}-H2O-NH3	b{ASS}-H2O-NH3, a{DGT}-H2O-NH3, a{EGS}-H2O-NH3, b{GST}-H2O-NH3	
211.09646	1.9	24/100	1.3%	?	?	?	?	
211.10772	13.2	94/100	6.1%	211.10772	0.0	b{DI}-H2O	b{DL}-H2O, b{EV}-H2O, b{IN}-NH3, b{LN}-NH3, b{QV}-NH3, a{APS}-NH3, b{AGV}-NH3, a{GPT}-NH3, b{GGI}-NH3, b{GGL}-NH3, y{IN}-H2O-NH3, y{LN}-H2O-NH3, y{QV}-H2O-NH3, a{ATT}-H2O-NH3, y{AGV}-H2O-NH3, y{GGI}-H2O-NH3, y{GGL}-H2O-NH3, a{SSV}-H2O-NH3	
211.11906	6.3	50/100	3.2%	211.11895	-0.52	a{HT}	b{AR}-NH3, a{QQ}-H2O, a{AAN}-H2O, a{AGQ}-H2O, y{AR}-H2O-NH3	
211.13279	1.1	12/100	1.3%	?	?	?	?	
211.14409	42.1	100/100	15.0%	211.1441	0.05	b{IP}	b{LP}, y{IP}-H2O, b{KV}-NH3, y{LP}-H2O, a{AAI}-NH3, a{AAL}-NH3, a{GVV}-NH3, y{KV}-H2O-NH3, a{L[Acetyl]T}-H2O	
211.148	0.5	3/100	0.6%	?	?	?	?	
211.15249	3.1	3/100	2.0%	211.15221	-1.33	b{II}-NH3+i	b{IL}-NH3+i, b{LL}-NH3+i, y{II}-H2O-NH3+i, y{IL}-H2O-NH3+i, y{LL}-H2O-NH3+i, a{L[Acetyl]V}-NH3+i	
211.15527	3.8	12/100	4.5%	211.15534	0.33	a{KQ}-H2O	a{RV}-NH3, a{AGK}-H2O	
211.18045	1.4	20/100	0.9%	?	?	?	?	
211.20551	0.9	12/100	0.8%	?	?	?	?	
211.58351	0.8	7/100	1.0%	?	?	?	?	
211.62914	1.7	12/100	1.2%	?	?	?	?	
211.64736	2.0	12/100	0.9%	?	?	?	?	
211.97662	1.3	9/100	2.2%	?	?	?	?	
212.01292	2.8	12/100	4.3%	?	?	?	?	
212.02089	5.4	3/100	0.6%	?	?	?	?	
212.04098	29.4	9/100	1.9%	212.04143	2.12	C6H6N5O4		
212.04939	3.0	12/100	3.5%	212.04882	-2.69	a{CGN}-H2O-NH3	a{C[Carbamidomethyl]N}-H2O-NH3, a{C[Carbamidomethyl]GG}-H2O-NH3	
212.06658	3.0	33/100	1.3%	212.06658	0.0	b{DN}-H2O	b{NN}-NH3, b{DGG}-H2O, b{GGN}-NH3, y{NN}-H2O-NH3, y{GGN}-H2O-NH3	
212.09175	4.2	12/100	3.2%	212.09173	-0.09	b{DI}-NH3	b{DL}-NH3, b{EV}-NH3, y{DI}-H2O-NH3, y{DL}-H2O-NH3, y{EV}-H2O-NH3	
212.10296	31.0	100/100	12.6%	212.10297	0.05	b{NP}	b{GGP}, a{EQ}-H2O, y{NP}-H2O, a{QQ}-NH3, b{QT}-H2O, a{AAD}-H2O, a{AAN}-NH3, a{AEG}-H2O, a{AGQ}-NH3, b{AAS}-H2O, b{AGT}-H2O, y{GGP}-H2O	
212.1182	1.1	5/100	0.6%	212.11822	0.09	a{AW}-H2O		
212.13932	8.8	80/100	7.2%	212.13935	0.14	a{AAP}	a{EK}-H2O, a{KQ}-NH3, b{KT}-H2O, a{AGK}-NH3, a{ASV}-H2O, a{GIS}-H2O, a{GLS}-H2O, a{GTV}-H2O	
212.14743	1.5	37/100	1.8%	212.14745	0.09	b{IP}+i	b{LP}+i, y{IP}-H2O+i, b{KV}-NH3+i, y{LP}-H2O+i, a{AAI}-NH3+i, a{AAL}-NH3+i, a{GVV}-NH3+i, y{KV}-H2O-NH3+i, a{L[Acetyl]T}-H2O+i	
212.63696	0.8	12/100	0.6%	?	?	?	?	
212.93374	17.5	46/100	2.1%	?	?	?	?	
212.9472	0.9	17/100	1.0%	?	?	?	?	
213.01581	6.7	14/100	6.2%	?	?	?	?	
213.02077	1.2	8/100	2.7%	?	?	?	?	
213.03287	5.2	26/100	1.7%	213.03284	-0.14	a{CDG}-H2O-NH3	b{CGS}-H2O-NH3, a{C[Carbamidomethyl]D}-H2O-NH3, b{C[Carbamidomethyl]S}-H2O-NH3	
213.05055	1.4	25/100	0.9%	213.0506	0.23	b{DD}-H2O	b{DN}-NH3, b{DGG}-NH3, y{DN}-H2O-NH3, y{DGG}-H2O-NH3	
213.05219	7.2	7/100	1.2%	213.05217	-0.09	a{CGN}-H2O-NH3+i	a{C[Carbamidomethyl]N}-H2O-NH3+i, a{C[Carbamidomethyl]GG}-H2O-NH3+i	
213.06919	1.1	5/100	0.8%	213.06923	0.19	a{CGP}-NH3	a{ACT}-H2O-NH3, a{GMS}-H2O-NH3, b{GM[Acetyl]}-H2O, a{M[Oxidation]Q}-H2O-NH3, a{AGM[Oxidation]}-H2O-NH3, a{C[Carbamidomethyl]P}-NH3, b{DN}-H2O+i, b{NN}-NH3+i, b{DGG}-H2O+i, b{GGN}-NH3+i, y{NN}-H2O-NH3+i, y{GGN}-H2O-NH3+i	
213.08696	30.3	99/100	12.8%	213.08698	0.09	b{DP}	y{DP}-H2O, a{EE}-H2O, a{EQ}-NH3, b{ET}-H2O, y{NP}-NH3, b{QT}-NH3, a{AAD}-NH3, a{AEG}-NH3, b{AAS}-NH3, b{AGT}-NH3, y{GGP}-NH3, y{QT}-H2O-NH3, y{AAS}-H2O-NH3, y{AGT}-H2O-NH3, a{SST}-H2O-NH3	
213.09823	1.6	13/100	1.1%	213.09822	-0.05	y{GH}	a{GNS}-H2O	
213.10219	2.0	11/100	0.7%	213.10224	0.23	a{AW}-NH3	a{FQ}-H2O-NH3, a{AFG}-H2O-NH3	
213.1063	0.9	36/100	1.2%	213.10632	0.09	b{NP}+i	b{GGP}+i, a{EQ}-H2O+i, y{NP}-H2O+i, a{QQ}-NH3+i, b{QT}-H2O+i, a{AAD}-H2O+i, a{AAN}-NH3+i, a{AEG}-H2O+i, a{AGQ}-NH3+i, b{AAS}-H2O+i, b{AGT}-H2O+i, y{GGP}-H2O+i, b{MV}-H2O, a{CL[Acetyl]}-H2O, a{KM[Oxidation]}-H2O-NH3	
213.11205	2.3	17/100	1.9%	?	?	?	?	
213.12334	7.0	69/100	4.6%	213.12337	0.14	y{PP}	a{EK}-NH3, b{KT}-NH3, a{ASV}-NH3, a{GIS}-NH3, a{GLS}-NH3, a{GTV}-NH3, b{GL[Acetyl]}, y{KT}-H2O-NH3, y{GL[Acetyl]}-H2O	
213.1272	0.4	5/100	1.0%	?	?	?	?	
213.13452	1.6	19/100	0.9%	213.1346	0.38	a{RT}-NH3		
213.15109	0.9	3/100	1.8%	?	?	?	?	
213.15976	45.0	100/100	14.1%	213.15975	-0.05	b{IV}	b{LV}, y{IV}-H2O, y{LV}-H2O	
213.1637	0.9	7/100	0.8%	?	?	?	?	
213.65038	1.3	9/100	1.0%	?	?	?	?	
213.99223	1.1	5/100	2.0%	?	?	?	?	
214.02859	1.4	11/100	2.5%	?	?	?	?	
214.05325	1.2	8/100	1.0%	214.05324	-0.05	b{GM[Acetyl]}-NH3	y{GM[Acetyl]}-H2O-NH3, a{EM[Oxidation]}-H2O-NH3, b{M[Oxidation]T}-H2O-NH3, b{DD}-H2O+i, b{DN}-NH3+i, b{DGG}-NH3+i, y{DN}-H2O-NH3+i, y{DGG}-H2O-NH3+i	
214.07229	5.0	6/100	4.0%	214.07258	1.35	a{CGP}-NH3+i	a{ACT}-H2O-NH3+i, a{GMS}-H2O-NH3+i, b{GM[Acetyl]}-H2O+i, a{M[Oxidation]Q}-H2O-NH3+i, a{AGM[Oxidation]}-H2O-NH3+i, a{C[Carbamidomethyl]P}-NH3+i	
214.08225	1.4	47/100	0.9%	214.08223	-0.09	a{DGS}-H2O	a{GNS}-NH3, b{GSS}-H2O	
214.08624	2.1	10/100	1.2%	214.08626	0.09	a{EF}-H2O-NH3	b{FT}-H2O-NH3	
214.09009	0.7	22/100	1.0%	214.09033	1.12	b{DP}+i	y{DP}-H2O+i, a{EE}-H2O+i, a{EQ}-NH3+i, b{ET}-H2O+i, y{NP}-NH3+i, b{QT}-NH3+i, a{AAD}-NH3+i, a{AEG}-NH3+i, b{AAS}-NH3+i, b{AGT}-NH3+i, y{GGP}-NH3+i, y{QT}-H2O-NH3+i, y{AAS}-H2O-NH3+i, y{AGT}-H2O-NH3+i, a{SST}-H2O-NH3+i, b{MV}-NH3, y{MV}-H2O-NH3, a{CL[Acetyl]}-NH3	
214.09745	59.8	18/100	6.3%	?	?	?	?	
214.10079	1.4	28/100	0.6%	214.10086	0.33	b{CK}-H2O	a{MQ}-H2O, a{AGM}-H2O, a{CGV}-H2O, a{C[Carbamidomethyl]V}-H2O, y{GH}+i, a{GNS}-H2O+i	
214.11862	14.0	94/100	5.5%	214.11862	0.0	b{NV}	b{AAA}, a{GPS}, b{GGV}, y{NV}-H2O, a{AST}-H2O, y{AAA}-H2O, a{GTT}-H2O, y{GGV}-H2O	
214.12981	2.1	15/100	2.4%	214.12985	0.19	b{GR}	y{GR}-H2O	
214.14796	1.5	12/100	1.2%	?	?	?	?	
214.15499	12.3	95/100	4.3%	214.155	0.05	a{IQ}	a{LQ}, a{AAV}, a{AGI}, a{AGL}	
214.16308	2.6	44/100	1.9%	214.1631	0.09	b{IV}+i	b{LV}+i, y{IV}-H2O+i, y{LV}-H2O+i	
214.19141	5.4	12/100	4.4%	214.19139	-0.09	a{IK}	a{KL}	
214.64002	0.8	12/100	0.6%	?	?	?	?	
215.02151	0.6	3/100	1.2%	?	?	?	?	
215.03307	0.5	5/100	1.7%	?	?	?	?	
215.05498	8.9	17/100	1.8%	?	?	?	?	
215.07012	4.5	3/100	4.0%	?	?	?	?	
215.08485	3.5	40/100	2.0%	215.08488	0.14	b{CK}-NH3	a{EM}-H2O, a{MQ}-NH3, b{MT}-H2O, a{AGM}-NH3, a{CGV}-NH3, y{CK}-H2O-NH3, a{M[Acetyl]S}-H2O, a{C[Carbamidomethyl]V}-NH3, a{DGS}-H2O+i, a{GNS}-NH3+i, b{GSS}-H2O+i	
215.10269	12.2	95/100	5.8%	215.10263	-0.28	b{DV}	y{DV}-H2O, y{NV}-NH3, a{AST}-NH3, y{AAA}-NH3, a{GTT}-NH3, y{GGV}-NH3	
215.10654	0.6	5/100	0.9%	?	?	?	?	
215.11398	4.4	36/100	2.3%	215.11387	-0.51	a{NQ}	a{AGN}, a{GGQ}, y{GR}-NH3	
215.11509	0.9	4/100	0.8%	215.11544	1.63	a{CR}-H2O+i		
215.1171	0.4	3/100	0.8%	?	?	?	?	
215.12131	1.3	15/100	1.6%	215.12126	-0.23	a{KM}-NH3	a{IM[Oxidation]}-H2O, a{LM[Oxidation]}-H2O, b{NV}+i, b{AAA}+i, a{GPS}+i, b{GGV}+i, y{NV}-H2O+i, a{AST}-H2O+i, y{AAA}-H2O+i, a{GTT}-H2O+i, y{GGV}-H2O+i	
215.12777	2.8	26/100	1.9%	?	?	?	?	
215.13904	86.5	100/100	26.1%	215.13902	-0.09	a{EI}	a{EL}, b{IT}, b{LT}, y{PV}, y{IT}-H2O, y{LT}-H2O, a{L[Acetyl]S}	COM
215.14286	0.6	4/100	1.1%	?	?	?	?	
215.15843	0.6	20/100	0.7%	215.15835	-0.37	a{IQ}+i	a{LQ}+i, a{AAV}+i, a{AGI}+i, a{AGL}+i	
215.17933	1.1	10/100	0.9%	?	?	?	?	
215.97157	0.6	3/100	0.9%	?	?	?	?	
216.00785	0.7	9/100	1.3%	?	?	?	?	
216.04204	4.9	15/100	1.1%	?	?	?	?	
216.06309	2.5	11/100	2.4%	?	?	?	?	
216.08799	29.4	18/100	4.8%	216.08823	1.11	b{CK}-NH3+i	a{EM}-H2O+i, a{MQ}-NH3+i, b{MT}-H2O+i, a{AGM}-NH3+i, a{CGV}-NH3+i, y{CK}-H2O-NH3+i, a{M[Acetyl]S}-H2O+i, a{C[Carbamidomethyl]V}-NH3+i	
216.09791	32.7	100/100	10.3%	216.09788	-0.14	a{DQ}	a{EN}, b{NT}, b{QS}, a{ADG}, b{AGS}, a{EGG}, b{GGT}, y{NT}-H2O, y{QS}-H2O, y{AGS}-H2O, y{GGT}-H2O, a{SSS}-H2O	
216.10613	1.2	9/100	1.2%	216.10598	-0.69	b{DV}+i	y{DV}-H2O+i, y{NV}-NH3+i, a{AST}-NH3+i, y{AAA}-NH3+i, a{GTT}-NH3+i, y{GGV}-NH3+i, a{IM[Oxidation]}-NH3, a{LM[Oxidation]}-NH3	
216.11341	1.1	26/100	0.7%	216.11314	-1.25	a{GW}	a{FN}-H2O, a{FGG}-H2O, b{HI}-H2O-NH3, b{HL}-H2O-NH3	
216.12305	3.8	14/100	1.5%	216.12303	-0.09	y{IT}-NH3	y{LT}-NH3	
216.13434	13.0	90/100	4.8%	216.13427	-0.32	a{DK}	b{KS}, a{AAT}, a{GSV}, y{KS}-H2O	
216.14237	4.3	44/100	3.5%	216.14237	0.0	a{EI}+i	a{EL}+i, b{IT}+i, b{LT}+i, y{PV}+i, y{IT}-H2O+i, y{LT}-H2O+i, a{L[Acetyl]S}+i	
217.06411	0.9	10/100	1.1%	217.06414	0.14	a{ACS}-NH3	a{CGT}-NH3, a{DM[Oxidation]}-H2O, a{M[Oxidation]N}-NH3, b{M[Oxidation]S}-H2O, a{GGM[Oxidation]}-NH3, a{C[Carbamidomethyl]T}-NH3	
217.08187	25.7	99/100	9.0%	217.0819	0.14	a{DE}	b{DT}, b{ES}, y{DT}-H2O, y{ES}-H2O, y{NT}-NH3, y{QS}-NH3, y{AGS}-NH3, y{GGT}-NH3, a{SSS}-NH3, a{MM}-H2O	
217.09172	2.3	9/100	1.4%	?	?	?	?	
217.0973	6.5	69/100	2.2%	217.09715	-0.69	b{AY}-H2O	a{DF}-H2O, a{FN}-NH3, b{FS}-H2O, a{FGG}-NH3, b{GPP}-H2O-NH3	
217.09805	2.2	7/100	3.2%	?	?	?	?	
217.10048	1.5	6/100	1.8%	?	?	?	?	
217.10797	0.6	9/100	1.9%	?	?	?	?	
217.10836	2.1	10/100	1.2%	217.10839	0.14	b{HP}-H2O	a{AAH}-H2O-NH3, a{IM[Oxidation]}-NH3+i, a{LM[Oxidation]}-NH3+i	
217.11828	1.2	16/100	1.2%	217.11828	0.0	y{PT}	y{KS}-NH3	
217.12221	1.2	10/100	2.0%	?	?	?	?	
217.12656	1.9	4/100	0.9%	217.12638	-0.83	y{IT}-NH3+i	y{LT}-NH3+i	
217.13359	10.6	73/100	3.4%	217.13354	-0.23	a{FP}	a{VY}-H2O	
217.13693	15.7	80/100	3.4%	217.13691	-0.09	a{IM}	a{LM}, a{DK}+i, b{KS}+i, a{AAT}+i, a{GSV}+i, y{KS}-H2O+i	
217.14414	0.3	3/100	0.6%	?	?	?	?	
217.15469	4.2	12/100	2.5%	217.15467	-0.09	y{VV}		
217.15859	0.9	9/100	1.2%	?	?	?	?	
217.19499	0.7	11/100	1.1%	?	?	?	?	
217.62912	1.6	12/100	0.9%	?	?	?	?	
217.80475	0.7	4/100	0.6%	?	?	?	?	
217.98717	2.1	12/100	1.5%	?	?	?	?	
218.02357	0.6	6/100	0.9%	?	?	?	?	
218.03885	0.5	4/100	0.7%	?	?	?	?	
218.05942	5.0	48/100	1.2%	218.05939	-0.14	b{CN}	b{CGG}, y{CN}-H2O, y{CGG}-H2O, b{C[Carbamidomethyl]G}, y{C[Carbamidomethyl]G}-H2O	
218.06727	30.1	6/100	5.5%	218.06749	1.01	a{ACS}-NH3+i	a{CGT}-NH3+i, a{DM[Oxidation]}-H2O+i, a{M[Oxidation]N}-NH3+i, b{M[Oxidation]S}-H2O+i, a{GGM[Oxidation]}-NH3+i, a{C[Carbamidomethyl]T}-NH3+i, a{MM}-NH3	
218.08514	1.2	11/100	0.9%	218.08525	0.5	a{DE}+i	b{DT}+i, b{ES}+i, y{DT}-H2O+i, y{ES}-H2O+i, y{NT}-NH3+i, y{QS}-NH3+i, y{AGS}-NH3+i, y{GGT}-NH3+i, a{SSS}-NH3+i, y{CI}-NH3, y{CL}-NH3, a{MM}-H2O+i	
218.09577	2.0	28/100	0.6%	218.09577	0.0	a{MN}	a{AAC}, a{GGM}	
218.11351	1.9	16/100	1.0%	218.11353	0.09	y{AQ}	a{ASS}, y{AAG}, a{GST}	
218.13693	1.0	13/100	1.1%	218.13689	-0.18	a{FP}+i	a{VY}-H2O+i	
218.14009	1.9	24/100	1.2%	218.14026	0.78	a{IM}+i	a{LM}+i	
218.14996	38.0	90/100	8.1%	218.14992	-0.18	y{AK}		
218.15385	0.6	10/100	0.6%	?	?	?	?	
218.63694	0.9	6/100	0.8%	?	?	?	?	
218.65521	1.4	12/100	0.7%	?	?	?	?	
218.86745	1.4	6/100	1.8%	?	?	?	?	
219.03143	0.6	8/100	0.6%	?	?	?	?	
219.07647	3.9	23/100	3.6%	?	?	?	?	
219.07978	8.0	52/100	3.3%	219.07979	0.05	y{CP}	a{DM}, b{MS}, y{MS}-H2O, b{AM[Oxidation]}, y{AM[Oxidation]}-H2O	
219.08002	4.6	3/100	2.5%	219.07979	-1.05	y{CP}	a{DM}, b{MS}, y{MS}-H2O, b{AM[Oxidation]}, y{AM[Oxidation]}-H2O	
219.08636	0.7	5/100	0.7%	?	?	?	?	
219.09758	1.1	16/100	0.6%	219.09755	-0.14	y{AE}		
219.10123	0.6	7/100	1.5%	?	?	?	?	
219.11281	13.2	95/100	4.4%	219.1128	-0.05	b{AF}	y{AF}-H2O, a{TY}-H2O, b{GPV}-H2O-NH3, a{PPS}-H2O-NH3	
219.11608	2.1	15/100	1.3%	219.11618	0.46	a{M[Oxidation]V}	y{AQ}+i, a{ASS}+i, y{AAG}+i, a{GST}+i	
219.1227	2.4	19/100	2.7%	?	?	?	?	
219.13291	0.5	17/100	5.5%	219.13393	4.65	y{IS}	y{LS}, y{TV}	
219.13396	78.2	9/100	43.5%	219.13393	-0.14	y{IS}	y{LS}, y{TV}	
219.13776	2.2	15/100	2.1%	?	?	?	?	
219.14923	19.6	100/100	4.3%	219.14919	-0.18	a{FV}	a{AIP}-H2O-NH3, a{ALP}-H2O-NH3	
219.15293	6.5	3/100	3.6%	219.15327	1.55	y{AK}+i		
219.15332	2.2	11/100	1.4%	219.15327	-0.23	y{AK}+i		
219.17429	0.6	8/100	1.0%	?	?	?	?	
219.21054	0.9	13/100	1.0%	?	?	?	?	
219.62665	0.8	10/100	0.6%	?	?	?	?	
219.87526	0.9	7/100	2.0%	?	?	?	?	
220.01806	0.8	7/100	1.7%	?	?	?	?	
220.05453	0.3	3/100	0.8%	?	?	?	?	
220.06041	2.2	6/100	0.6%	?	?	?	?	
220.07503	0.6	21/100	1.1%	220.07504	0.05	a{CGS}	a{C[Carbamidomethyl]S}	
220.07981	3.7	4/100	2.1%	?	?	?	?	
220.08303	0.4	6/100	0.6%	220.08314	0.5	y{CP}+i	a{DM}+i, b{MS}+i, y{MS}-H2O+i, b{AM[Oxidation]}+i, y{AM[Oxidation]}-H2O+i	
220.10805	4.2	68/100	2.2%	220.10805	0.0	b{HV}-NH3	y{HV}-H2O-NH3, a{ANP}-H2O-NH3, a{GPQ}-H2O-NH3	
220.11607	1.0	12/100	0.9%	220.11615	0.36	b{AF}+i	y{AF}-H2O+i, a{TY}-H2O+i, b{GPV}-H2O-NH3+i, a{PPS}-H2O-NH3+i	
220.11923	2.0	17/100	0.9%	220.11929	0.27	a{HQ}-H2O	a{AGH}-H2O, a{M[Oxidation]V}+i	
220.13731	9.1	12/100	7.2%	220.13728	-0.14	y{IS}+i	y{LS}+i, y{TV}+i	
220.14231	0.6	12/100	0.9%	?	?	?	?	
220.14566	1.4	8/100	1.8%	?	?	?	?	
220.14788	0.6	3/100	0.6%	?	?	?	?	
220.15256	1.9	37/100	1.2%	220.15254	-0.09	a{FV}+i	a{AIP}-H2O-NH3+i, a{ALP}-H2O-NH3+i	
220.64009	6.8	3/100	0.7%	?	?	?	?	
221.07279	0.6	10/100	0.7%	?	?	?	?	
221.07765	0.8	11/100	0.9%	221.07839	3.35	a{CGS}+i	a{C[Carbamidomethyl]S}+i, y{DS}	
221.08435	10.2	31/100	7.6%	?	?	?	?	
221.09208	6.6	78/100	2.7%	221.09207	-0.05	b{GY}	y{GY}-H2O, a{ADP}-H2O-NH3, b{APS}-H2O-NH3, a{EGP}-H2O-NH3, b{GPT}-H2O-NH3	
221.09535	1.4	12/100	1.4%	221.09544	0.41	y{AM}	y{CV}, a{M[Oxidation]T}, y{NS}+i, y{GGS}+i	
221.1033	7.4	67/100	3.5%	221.1033	0.0	a{EH}-H2O	a{HQ}-NH3, b{HT}-H2O, a{AGH}-NH3	
221.10896	6.2	3/100	1.9%	?	?	?	?	
221.11694	0.9	10/100	1.8%	?	?	?	?	
221.12844	22.1	100/100	4.9%	221.12845	0.05	a{FT}	a{APP}-NH3, b{AAI}-H2O-NH3, b{AAL}-H2O-NH3, b{GVV}-H2O-NH3, a{PSV}-H2O-NH3, a{L[Acetyl]Q}-H2O-NH3, a{AGL[Acetyl]}-H2O-NH3	
221.13834	7.9	30/100	5.3%	?	?	?	?	
221.1535	0.6	8/100	1.1%	?	?	?	?	
221.22631	0.7	10/100	0.8%	?	?	?	?	
221.64008	0.5	3/100	0.8%	?	?	?	?	
221.8755	1.2	3/100	2.2%	?	?	?	?	
221.96098	3.6	12/100	2.2%	?	?	?	?	
222.01844	2.9	12/100	3.5%	?	?	?	?	
222.03371	2.6	12/100	3.6%	?	?	?	?	
222.05257	2.6	4/100	0.8%	?	?	?	?	
222.0742	0.8	3/100	0.7%	?	?	?	?	
222.07606	2.5	10/100	0.7%	222.07608	0.09	y{GY}-NH3		
222.08487	7.2	12/100	7.3%	?	?	?	?	
222.08726	4.1	27/100	1.6%	222.08732	0.27	a{EH}-NH3	b{HT}-NH3, y{HT}-H2O-NH3, b{QQ}-H2O-NH3, b{AAN}-H2O-NH3, b{AGQ}-H2O-NH3	
222.09492	0.6	10/100	0.6%	222.09542	2.25	b{GY}+i	y{GY}-H2O+i, a{ADP}-H2O-NH3+i, b{APS}-H2O-NH3+i, a{EGP}-H2O-NH3+i, b{GPT}-H2O-NH3+i	
222.1237	5.8	60/100	3.0%	222.1237	0.0	b{AAP}-H2O	b{KQ}-H2O-NH3, a{ANV}-H2O-NH3, b{AGK}-H2O-NH3, a{GIN}-H2O-NH3, a{GLN}-H2O-NH3, a{GQV}-H2O-NH3	
222.13174	1.3	26/100	0.8%	222.1318	0.27	a{FT}+i	a{APP}-NH3+i, b{AAI}-H2O-NH3+i, b{AAL}-H2O-NH3+i, b{GVV}-H2O-NH3+i, a{PSV}-H2O-NH3+i, a{L[Acetyl]Q}-H2O-NH3+i, a{AGL[Acetyl]}-H2O-NH3+i	
222.14169	1.0	9/100	0.9%	?	?	?	?	
222.16008	0.9	12/100	1.2%	222.16009	0.05	a{APV}-H2O	a{GIP}-H2O, a{GLP}-H2O, b{KK}-H2O-NH3, a{GKV}-H2O-NH3	
222.82848	1.3	8/100	0.9%	?	?	?	?	
223.02057	2.1	12/100	1.5%	?	?	?	?	
223.0636	3.3	41/100	4.2%	?	?	?	?	
223.07131	0.7	34/100	1.2%	223.07133	0.09	b{EQ}-H2O-NH3	b{AAD}-H2O-NH3, b{AEG}-H2O-NH3	
223.07283	2.0	6/100	2.0%	223.07291	0.36	a{HM[Oxidation]}-H2O-NH3+i	b{EQ}-H2O-NH3, b{AAD}-H2O-NH3, b{AEG}-H2O-NH3	
223.07465	0.8	8/100	0.8%	223.0747	0.22	y{CT}	y{GM[Oxidation]}	
223.08011	1.9	3/100	1.9%	223.07943	-3.05	y{GY}-NH3+i		
223.08134	5.2	12/100	5.0%	?	?	?	?	
223.08253	2.3	11/100	1.5%	223.08257	0.18	a{GNN}-H2O-NH3		
223.09432	1.0	8/100	2.7%	?	?	?	?	
223.09727	0.6	3/100	0.6%	?	?	?	?	
223.1077	15.7	98/100	4.4%	223.10772	0.09	y{FG}	a{SY}, b{AAP}-NH3, b{EK}-H2O-NH3, a{ADV}-H2O-NH3, b{ASV}-H2O-NH3, y{AAP}-H2O-NH3, a{DGI}-H2O-NH3, a{DGL}-H2O-NH3, a{EGV}-H2O-NH3, b{GIS}-H2O-NH3, b{GLS}-H2O-NH3, b{GTV}-H2O-NH3, a{PST}-H2O-NH3	
223.11894	0.8	10/100	1.1%	223.11895	0.04	a{GNP}-H2O	a{ER}-H2O-NH3, b{RT}-H2O-NH3	
223.13268	0.6	6/100	1.3%	?	?	?	?	
223.14406	2.2	27/100	1.6%	223.1441	0.18	a{APV}-NH3	a{GIP}-NH3, a{GLP}-NH3, a{AIT}-H2O-NH3, a{ALT}-H2O-NH3, a{SVV}-H2O-NH3	
223.15536	15.8	94/100	6.3%	223.15534	-0.09	a{HI}	a{HL}	
224.01294	2.5	11/100	4.4%	?	?	?	?	
224.04935	3.1	12/100	3.8%	224.04882	-2.37	b{CH}-NH3	y{CH}-H2O-NH3	
224.06401	3.5	14/100	3.9%	?	?	?	?	
224.06554	1.2	3/100	1.4%	224.06658	4.64	a{DGN}-H2O-NH3	b{GNS}-H2O-NH3	
224.10297	5.9	68/100	3.0%	224.10297	0.0	a{DGP}-H2O	a{GNP}-NH3, b{GPS}-H2O, a{ANT}-H2O-NH3, a{AQS}-H2O-NH3, a{GQT}-H2O-NH3	
224.11102	0.9	21/100	0.7%	224.11107	0.22	y{FG}+i	a{SY}+i, b{AAP}-NH3+i, b{EK}-H2O-NH3+i, a{ADV}-H2O-NH3+i, b{ASV}-H2O-NH3+i, y{AAP}-H2O-NH3+i, a{DGI}-H2O-NH3+i, a{DGL}-H2O-NH3+i, a{EGV}-H2O-NH3+i, b{GIS}-H2O-NH3+i, b{GLS}-H2O-NH3+i, b{GTV}-H2O-NH3+i, a{PST}-H2O-NH3+i, a{IM[Acetyl]}-H2O-NH3, a{LM[Acetyl]}-H2O-NH3, a{L[Acetyl]M}-H2O-NH3	
224.11417	2.2	12/100	0.9%	224.1142	0.13	a{HN}	a{GGH}	
224.12788	0.7	3/100	0.7%	?	?	?	?	
