mean monoisotopic m/z	average intensity	ms runs	percentage of spectra	theoretical m/z	delta PPM	primary identification	other identifications	labels
100.07569	12.8	74/81	1.6%	100.07569	0.0	b{V}	y{V}-H2O	
100.08694	7.3	8/81	1.0%	100.08692	-0.2	IR-CH3N		IMM
101.0032	11.0	3/81	1.1%	?	?	?	?	
101.00555	5.9	13/81	0.9%	?	?	?	?	
101.0597	10.6	24/81	1.6%	101.05971	0.1	y{V}-NH3		
101.07094	398.7	82/82	39.3%	101.07094	0.0	IQ	a{AG}, IT+CO+NH3-H2O	COM, IMM
101.10733	56.2	82/82	9.2%	101.10732	-0.1	IK		COM, IMM
101.79235	1.6	5/82	1.2%	?	?	?	?	
101.94797	1.5	3/82	1.1%	?	?	?	?	
102.05496	389.7	82/82	36.2%	102.05495	-0.1	IE	b{T}, IT+CO, y{T}-H2O	COM, IMM
102.0675	9.2	21/82	0.9%	?	?	?	?	
102.07431	1.9	31/82	0.9%	102.07429	-0.2	IQ+i	a{AG}+i, IT+CO+NH3-H2O+i	IMM
102.09134	8.0	20/82	1.0%	102.09134	0.0	C5H12NO		
102.35916	1.6	4/82	1.1%	?	?	?	?	
103.03898	7.6	15/82	0.8%	103.03897	-0.1	y{T}-NH3		
103.05424	24.1	76/82	4.7%	103.05423	-0.1	IF-NH3		IMM
103.05838	2.2	21/82	0.6%	103.0583	-0.78	IE+i	b{T}+i, IT+CO+i, y{T}-H2O+i	IMM
103.50753	1.5	3/82	1.0%	?	?	?	?	
104.05283	232.4	82/82	21.5%	104.05285	0.19	IM		COM, IMM
104.07062	7.7	14/82	0.9%	104.07061	-0.1	C4H10NO2		
104.08918	1.6	5/82	1.1%	?	?	?	?	
104.107	6.0	8/82	0.6%	?	?	?	?	
104.97075	2.2	6/82	1.6%	?	?	?	?	
105.05629	5.2	29/82	1.4%	105.0562	-0.86	IM+i		IMM
105.06585	33.8	81/82	3.3%	105.06585	0.0	C3H9N2O2	IS+CO+NH3	
105.86359	2.5	6/82	1.7%	?	?	?	?	
106.04864	4.7	32/82	1.4%	106.04853	-1.04	CH6N4O2	IH+CO-H2O-NH+i	
106.76787	2.8	6/82	1.9%	?	?	?	?	
107.04919	7.8	52/82	1.4%	107.04914	-0.47	IY-CH3N		IMM
107.37689	3.2	6/82	2.3%	?	?	?	?	
107.68351	1.3	3/82	1.0%	?	?	?	?	
107.99141	1.9	6/82	1.3%	?	?	?	?	
108.04444	17.9	23/82	1.3%	108.04439	-0.46	b{AA}-H2O-NH3		
108.30052	3.5	6/82	2.5%	?	?	?	?	
108.61132	2.7	6/82	1.9%	?	?	?	?	
109.06484	3.6	5/82	0.8%	?	?	?	?	
109.07608	6.5	12/82	0.6%	109.07602	-0.55	a{GP}-H2O		
109.10117	12.3	57/82	1.7%	109.10118	0.09	C8H13		
109.23593	2.0	6/82	1.4%	?	?	?	?	
109.86678	3.4	6/82	2.4%	?	?	?	?	
110.06008	4.3	52/94	2.5%	110.06004	-0.36	a{GP}-NH3	a{AT}-H2O-NH3	
110.06293	0.6	15/94	0.6%	?	?	?	?	
110.06731	3.4	20/94	3.2%	?	?	?	?	
110.07127	966.0	94/94	58.4%	110.07127	0.0	IH		COM, IMM
110.07467	2.7	10/94	2.9%	?	?	?	?	
110.07553	3.7	3/94	3.0%	?	?	?	?	
110.07944	8.4	45/94	0.7%	110.07937	-0.64	a{GP}-H2O+i		
110.09645	1.5	40/94	0.9%	110.09643	-0.18	C7H12N	IL[Acetyl]-H2O	
110.10447	0.7	13/94	0.7%	?	?	?	?	
110.5027	4.8	6/94	3.6%	?	?	?	?	
110.82291	3.0	6/94	2.3%	?	?	?	?	
111.04406	7.4	36/94	1.9%	111.04406	0.0	C6H7O2		
111.05533	7.3	47/94	1.2%	111.05529	-0.36	b{Q}-H2O	IQ+CO-H2O, b{AG}-H2O	
111.06827	2.5	24/94	1.1%	?	?	?	?	
111.07283	1.8	17/94	0.8%	?	?	?	?	
111.07478	33.3	86/94	8.0%	111.07462	-1.44	IH+i		IMM
111.0804	2.8	14/94	2.8%	111.08044	0.36	IL[Acetyl]-NH3		IMM
111.0917	4.8	66/94	1.3%	111.09167	-0.27	b{K}-H2O	IK+CO-H2O, a{GV}-H2O	
111.11677	5.4	19/94	2.5%	?	?	?	?	
111.14419	2.3	6/94	1.8%	?	?	?	?	
111.46698	2.2	6/94	1.8%	?	?	?	?	
111.79162	4.8	6/94	3.7%	?	?	?	?	
112.04731	1.1	12/94	0.6%	?	?	?	?	
112.05055	175.6	21/94	12.5%	?	?	?	?	
112.0757	9.0	81/94	2.2%	112.07569	-0.09	b{K}-NH3	IK+CO-NH3, a{GV}-NH3, y{K}-H2O-NH3	
112.08346	0.4	7/94	1.2%	112.08379	2.94	IL[Acetyl]-NH3+i		IMM
112.08691	89.2	94/94	20.9%	112.08692	0.09	IR-NH3		COM, IMM
112.0905	0.8	12/94	0.9%	?	?	?	?	
112.09936	1.1	4/94	0.7%	?	?	?	?	
112.11209	1.9	20/94	1.1%	?	?	?	?	
112.11707	1.8	6/94	1.4%	?	?	?	?	
112.44419	3.4	6/94	2.6%	?	?	?	?	
112.77274	4.8	6/94	3.8%	?	?	?	?	
113.04757	6.9	12/94	1.2%	?	?	?	?	
113.05386	30.1	12/94	2.8%	?	?	?	?	
113.05968	10.8	79/94	3.2%	113.05971	0.27	IK+CO+H2O-NH3-NH3		IMM
113.07094	32.9	94/94	8.0%	113.07094	0.0	a{AS}-H2O	a{GT}-H2O	
113.09035	0.5	8/94	0.9%	113.09027	-0.71	IR-NH3+i		IMM
113.09607	0.9	11/94	0.9%	?	?	?	?	
113.10731	2.1	52/94	0.8%	113.10733	0.18	C6H13N2		
113.43428	4.5	6/94	3.4%	?	?	?	?	
113.58676	1.9	12/94	1.4%	?	?	?	?	
113.767	8.5	6/94	6.4%	?	?	?	?	
113.9637	2.3	11/94	3.2%	?	?	?	?	
114.05497	4.7	40/94	1.1%	114.05495	-0.18	a{AS}-NH3	a{GT}-NH3	
114.06303	0.6	7/94	0.6%	114.06306	0.26	IK+CO+H2O-NH3-NH3+i		IMM
114.06616	3.9	22/94	0.8%	114.06619	0.26	C4H8N3O		
114.09134	5.5	71/94	1.5%	114.09134	0.0	b{I}	b{L}, y{I}-H2O, y{L}-H2O, IL[Acetyl]-CH2	
114.10213	2.2	6/94	1.5%	114.10257	3.86	C5H12N3		
114.10259	1.4	16/94	1.4%	114.10257	-0.18	C5H12N3		
114.43729	3.1	6/94	2.4%	?	?	?	?	
114.56524	1.9	5/94	0.6%	?	?	?	?	
115.02122	9.9	44/94	0.9%	115.02121	-0.09	b{M}-NH3	y{M}-H2O-NH3	
115.03895	4.6	16/94	0.8%	?	?	?	?	
115.05021	14.8	93/94	2.8%	115.0502	-0.09	b{N}	b{GG}, y{N}-H2O, y{GG}-H2O	
115.07532	6.1	28/94	3.3%	115.07536	0.35	y{I}-NH3	y{L}-NH3	
115.08284	0.5	9/94	1.3%	?	?	?	?	
115.08658	100.7	94/94	23.1%	115.08659	0.09	a{AA}		COM
115.09029	0.5	9/94	1.1%	?	?	?	?	
115.11344	12.2	8/94	7.6%	?	?	?	?	
115.11401	1.8	4/94	1.8%	?	?	?	?	
115.45359	3.0	6/94	2.2%	?	?	?	?	
115.62306	1.9	6/94	1.4%	?	?	?	?	
115.79544	7.9	11/94	4.0%	?	?	?	?	
116.01645	29.6	77/94	4.6%	116.01646	0.09	a{CG}-NH3	IC[Carbamidomethyl]-NH3	
116.06656	2.8	5/94	0.7%	?	?	?	?	
116.07059	48.6	94/94	13.7%	116.0706	0.09	y{P}	IR+H2O+H2O-N3H7	
116.07428	1.0	3/94	0.9%	?	?	?	?	
116.08997	1.2	19/94	0.8%	116.08994	-0.26	a{AA}+i		
116.13963	4.7	6/94	3.7%	?	?	?	?	
116.83016	5.3	6/94	4.0%	?	?	?	?	
116.9719	0.6	3/94	2.3%	?	?	?	?	
116.97664	14.8	3/94	11.4%	?	?	?	?	
116.97719	14.2	3/94	11.6%	?	?	?	?	
116.99564	1.7	3/94	1.7%	?	?	?	?	
117.03158	13.7	3/94	10.4%	?	?	?	?	
117.03226	13.7	3/94	10.9%	?	?	?	?	
117.03683	2.9	8/94	0.8%	117.03757	6.32	b{D}+i	y{D}-H2O+i, y{N}-NH3+i, y{GG}-NH3+i	
117.06584	10.2	93/94	1.5%	117.06585	0.09	a{GS}		
117.06982	1.0	12/94	1.2%	?	?	?	?	
117.07395	1.6	17/94	0.8%	117.07395	0.0	y{P}+i	IR+H2O+H2O-N3H7+i	
117.08671	6.7	3/94	5.1%	?	?	?	?	
117.08732	6.2	3/94	5.0%	?	?	?	?	
117.09097	8.8	25/94	3.8%	?	?	?	?	
117.10223	11.0	91/94	1.4%	117.10224	0.09	C5H13N2O		
117.17894	3.3	10/94	2.1%	?	?	?	?	
117.52778	7.0	6/94	5.4%	?	?	?	?	
117.52841	1.4	6/94	1.4%	?	?	?	?	
117.87908	1.5	4/94	1.2%	?	?	?	?	
117.97973	0.6	4/94	0.9%	?	?	?	?	
118.06512	2.8	12/94	0.6%	118.06513	0.08	IY-H2O		IMM
118.08211	2.4	11/94	1.4%	?	?	?	?	
118.08625	1.7	25/94	20.4%	118.08626	0.08	y{V}		
118.0901	0.7	11/94	1.0%	?	?	?	?	
118.23163	8.6	6/94	6.5%	?	?	?	?	
118.23228	1.5	6/94	1.5%	?	?	?	?	
118.58527	9.4	6/94	6.8%	?	?	?	?	
118.58606	2.7	6/94	2.7%	?	?	?	?	
118.97144	1.3	5/94	0.7%	?	?	?	?	
119.03522	3.2	12/94	0.6%	?	?	?	?	
119.04914	25.0	94/94	5.6%	119.04914	0.0	IY-NH3		IMM
119.08149	13.5	92/94	2.2%	119.0815	0.08	IT+CO+NH3	C4H11N2O2	IMM
119.0855	2.8	29/94	1.8%	?	?	?	?	
119.08965	4.0	12/94	2.9%	119.08961	-0.34	y{V}+i		
119.29899	9.2	6/94	7.0%	?	?	?	?	
119.29968	2.2	6/94	2.2%	?	?	?	?	
119.65805	5.3	6/94	4.1%	?	?	?	?	
119.65901	1.1	4/94	1.1%	?	?	?	?	
120.01139	2.3	12/94	1.1%	?	?	?	?	
120.01929	5.8	6/94	4.8%	?	?	?	?	
120.06551	2.1	22/94	0.8%	120.06552	0.08	y{T}		
120.07094	4.6	18/94	0.6%	?	?	?	?	
120.07192	4.5	12/94	1.2%	?	?	?	?	
120.07623	5.0	21/94	3.1%	?	?	?	?	
120.07715	10.6	3/94	9.6%	?	?	?	?	
120.08077	1012.0	94/94	60.8%	120.08078	0.08	IF		COM, IMM
120.08513	1.4	17/94	1.4%	120.08485	-2.33	IT+CO+NH3+i		IMM
120.08998	8.6	54/94	1.1%	?	?	?	?	
120.2017	3.4	6/94	2.8%	?	?	?	?	
120.38128	4.9	6/94	4.2%	?	?	?	?	
120.7454	4.0	6/94	3.4%	?	?	?	?	
121.02839	11.4	52/94	2.1%	121.02841	0.17	C7H5O2		
121.06476	3.6	13/94	2.8%	121.06479	0.25	b{L[Acetyl]}-H2O-NH3		
121.08421	80.4	94/94	16.2%	121.08413	-0.66	IF+i		COM, IMM
121.08587	0.6	4/94	0.6%	?	?	?	?	
121.10116	7.3	45/94	2.9%	?	?	?	?	
121.11079	19.2	6/94	12.9%	?	?	?	?	
121.1115	4.7	6/94	4.9%	?	?	?	?	
121.66186	1.6	6/94	1.4%	?	?	?	?	
121.84719	9.6	12/94	7.6%	?	?	?	?	
122.02703	1.6	12/94	1.1%	122.02703	0.0	y{C}		
122.06003	11.3	12/94	1.6%	122.06004	0.08	b{GV}-H2O-NH3	a{PS}-H2O-NH3	
122.07127	5.2	50/94	1.9%	122.07127	0.0	b{R}-H2O-NH3		
122.08116	2.0	26/94	0.9%	?	?	?	?	
122.21785	8.1	9/94	5.9%	?	?	?	?	
122.21842	3.4	3/94	3.3%	?	?	?	?	
122.40416	1.9	5/94	1.6%	?	?	?	?	
122.58979	11.4	7/94	8.2%	?	?	?	?	
122.59051	1.4	5/94	1.6%	?	?	?	?	
122.77519	1.4	4/94	1.1%	?	?	?	?	
122.96442	5.0	6/94	4.2%	?	?	?	?	
123.04166	12.2	54/94	1.5%	123.04137	-2.36	C3H3N6		
123.05529	8.3	41/94	1.1%	123.05529	0.0	IH+CO-NH	a{AN}-H2O-NH3, a{GQ}-H2O-NH3, a{AGG}-H2O-NH3	IMM
123.07457	4.8	6/94	0.6%	123.07462	0.41	b{R}-H2O-NH3+i		
123.08043	18.9	60/94	6.5%	123.08044	0.08	C8H11O		
123.11679	8.3	74/94	2.7%	123.11683	0.32	C9H15		
123.12061	0.7	3/94	0.8%	?	?	?	?	
123.33967	10.9	6/94	8.1%	?	?	?	?	
123.34038	1.9	6/94	2.1%	?	?	?	?	
123.67611	4.1	3/94	4.5%	?	?	?	?	
124.0393	3.3	37/94	1.6%	124.0393	0.0	a{AD}-H2O-NH3	b{AS}-H2O-NH3, a{EG}-H2O-NH3, b{GT}-H2O-NH3	
124.07569	4.5	24/94	1.6%	124.07569	0.0	a{AP}-NH3	a{SV}-H2O-NH3	
124.0806	9.1	30/94	2.5%	?	?	?	?	
124.08697	0.5	9/94	0.6%	?	?	?	?	
124.09647	10.3	9/94	6.6%	?	?	?	?	
124.09691	2.9	3/94	3.0%	?	?	?	?	
124.11207	1.4	30/94	0.8%	?	?	?	?	
124.12016	2.9	9/94	1.1%	?	?	?	?	
124.5823	0.9	12/94	1.1%	?	?	?	?	
124.86094	1.6	3/94	1.3%	?	?	?	?	
124.99981	8.6	5/94	0.8%	?	?	?	?	
125.05967	2.2	10/94	2.6%	?	?	?	?	
125.07093	7.3	73/94	2.5%	125.07094	0.08	b{AA}-H2O		
125.09604	3.0	15/94	2.3%	?	?	?	?	
125.10731	6.6	80/94	1.3%	125.10732	0.08	a{AV}-H2O	a{GI}-H2O, a{GL}-H2O	
125.13242	2.0	14/94	1.3%	?	?	?	?	
125.24462	10.4	6/94	8.3%	?	?	?	?	
125.24534	1.0	3/94	1.1%	?	?	?	?	
125.63016	2.3	6/94	1.9%	?	?	?	?	
126.01784	4.9	6/94	4.2%	?	?	?	?	
126.05495	33.5	94/94	5.7%	126.05495	0.0	b{AA}-NH3	y{AA}-H2O-NH3, a{ST}-H2O-NH3	
126.0662	13.0	12/94	1.3%	126.06619	-0.08	a{GN}-H2O	a{GGG}-H2O	
126.07876	5.0	12/94	3.1%	?	?	?	?	
126.09134	5.5	62/94	1.2%	126.09134	0.0	a{AV}-NH3	a{GI}-NH3, a{GL}-NH3	
126.1277	0.8	12/94	0.7%	126.12773	0.24	TMT126		
126.40903	9.6	6/94	7.8%	?	?	?	?	
126.40988	1.1	5/94	1.1%	?	?	?	?	
126.80166	1.9	6/94	1.6%	?	?	?	?	
127.03896	4.4	67/94	0.8%	127.03897	0.08	C6H7O3		
127.0502	15.6	94/94	3.0%	127.0502	0.0	a{DG}-H2O	a{GN}-NH3, b{GS}-H2O, a{GGG}-NH3	
127.05842	5.6	3/94	1.1%	127.0583	-0.94	b{AA}-NH3+i	y{AA}-H2O-NH3+i, a{ST}-H2O-NH3+i	
127.07537	2.8	24/94	1.3%	?	?	?	?	
127.08657	51.6	94/94	11.8%	127.08659	0.16	a{GP}	a{AT}-H2O	COM
127.09044	0.5	3/94	0.6%	?	?	?	?	
127.09782	5.2	9/94	4.3%	?	?	?	?	
127.11168	1.0	11/94	1.0%	?	?	?	?	
127.12297	1.0	12/94	0.9%	?	?	?	?	
127.19431	6.0	6/94	5.0%	?	?	?	?	
127.58931	11.4	6/94	9.1%	?	?	?	?	
127.59019	1.9	6/94	2.1%	?	?	?	?	
128.0706	10.5	78/94	2.8%	128.0706	0.0	a{AT}-NH3		
128.0818	2.4	50/94	0.9%	128.08184	0.31	C5H10N3O		
128.08997	1.3	33/94	0.8%	128.08994	-0.23	a{GP}+i	a{AT}-H2O+i	
128.09438	1.6	10/94	1.2%	?	?	?	?	
128.10698	19.1	93/94	3.2%	128.10699	0.08	IL[Acetyl]		IMM
128.38565	12.3	6/94	9.9%	?	?	?	?	
128.38651	1.0	3/94	1.0%	?	?	?	?	
128.78625	10.9	6/94	9.2%	?	?	?	?	
128.78697	2.9	6/94	3.2%	?	?	?	?	
128.98945	2.2	6/94	1.9%	?	?	?	?	
129.01824	4.5	24/94	1.3%	?	?	?	?	
129.05018	0.8	3/94	0.6%	?	?	?	?	
129.05461	8.1	38/94	3.0%	129.05462	0.08	C6H9O3		
129.06585	93.0	94/94	19.9%	129.06585	0.0	b{Q}	IQ+CO, b{AG}, y{Q}-H2O, y{AG}-H2O, a{SS}-H2O	COM
129.0699	1.0	3/94	1.0%	?	?	?	?	
129.09132	7.2	64/94	0.8%	129.09101	-2.4	C7H13O2		
129.09165	8.5	7/94	1.1%	129.09101	-4.96	C7H13O2		
129.09238	5.0	12/94	1.7%	?	?	?	?	
129.09708	4.5	18/94	1.7%	?	?	?	?	
129.09749	9.7	7/94	7.6%	?	?	?	?	
129.10224	1266.8	94/94	76.6%	129.10224	0.0	b{K}	IK+CO, a{GV}, y{K}-H2O	COM
129.10603	6.3	5/94	5.2%	?	?	?	?	
129.10698	0.7	7/94	1.5%	?	?	?	?	
129.11254	9.8	23/94	3.1%	129.11347	7.2	IR		IMM
129.11287	12.1	40/94	2.4%	129.11347	4.65	IR		IMM
129.11351	2.2	21/94	1.0%	129.11347	-0.31	IR		IMM
129.18908	8.0	6/94	6.5%	?	?	?	?	
129.38941	2.4	6/94	2.1%	?	?	?	?	
129.59383	12.3	6/94	10.2%	?	?	?	?	
129.59452	3.0	6/94	3.5%	?	?	?	?	
130.00022	5.9	6/94	5.2%	?	?	?	?	
130.04987	20.5	93/94	7.7%	130.04987	0.0	b{E}	y{E}-H2O, y{Q}-NH3, y{AG}-NH3, a{SS}-NH3	
130.0579	1.4	12/94	0.8%	?	?	?	?	
130.06513	92.8	94/94	13.9%	130.06513	0.0	IW-CH3N	b{F}-H2O	COM, IMM
130.06739	0.8	3/94	0.6%	?	?	?	?	
130.08627	426.8	94/94	47.1%	130.08626	-0.08	y{K}-NH3	IK+CO+H2O-NH3	COM
130.09638	2.2	13/94	1.8%	130.09749	8.53	C5H12N3O		
130.09754	4.4	27/94	2.2%	130.09749	-0.38	C5H12N3O		
130.10018	0.6	11/94	1.3%	?	?	?	?	
130.10558	36.3	90/94	15.3%	130.10559	0.08	b{K}+i	IK+CO+i, a{GV}+i, y{K}-H2O+i	
130.81876	3.4	6/94	3.0%	?	?	?	?	
131.01615	2.0	9/94	1.3%	131.01613	-0.15	b{M[Oxidation]}-NH3	y{M[Oxidation]}-H2O-NH3	
131.04918	2.6	17/94	1.5%	131.04914	-0.31	b{F}-NH3	y{F}-H2O-NH3	
131.06857	1.8	47/94	1.2%	131.06848	-0.69	IW-CH3N+i	b{F}-H2O+i	IMM
131.07026	21.7	33/94	6.2%	131.07027	0.08	C6H11O3		
131.08144	37.9	94/94	5.6%	131.0815	0.46	a{AS}	a{GT}	
131.08546	2.1	12/94	1.9%	?	?	?	?	
131.08975	9.7	67/94	3.5%	131.08961	-1.07	y{K}-NH3+i	IK+CO+H2O-NH3+i	
131.11788	30.0	94/94	4.6%	131.11789	0.08	C6H15N2O		
131.23179	3.7	6/94	3.3%	?	?	?	?	
131.64589	6.0	6/94	5.3%	?	?	?	?	
132.06551	2.6	16/94	0.9%	?	?	?	?	
132.07673	7.4	87/94	1.5%	132.07675	0.15	C4H10N3O2		
132.08075	33.6	94/94	5.1%	132.08078	0.23	IW-CHN	a{PP}-H2O-NH3	IMM
132.09672	16.6	12/94	6.3%	?	?	?	?	
132.10188	8.6	78/94	12.6%	132.10191	0.23	y{I}	y{L}	
132.10555	0.6	3/94	0.7%	?	?	?	?	
132.10763	4.1	10/94	3.4%	?	?	?	?	
132.48068	6.4	6/94	5.7%	?	?	?	?	
132.89982	4.5	6/94	4.1%	?	?	?	?	
133.03182	1.1	24/94	1.6%	133.03178	-0.3	y{M}-NH3		
133.04299	219.5	82/94	20.5%	133.04301	0.15	a{CG}	IC[Carbamidomethyl]	
133.06073	21.0	92/94	3.2%	133.06077	0.3	y{N}	y{GG}	
133.06477	0.6	14/94	0.8%	?	?	?	?	
133.08081	0.8	10/94	1.7%	?	?	?	?	
133.08589	12.7	89/94	9.2%	133.08592	0.23	C6H13O3		
133.10109	3.7	13/94	2.9%	?	?	?	?	
133.10528	31.6	12/94	19.4%	133.10526	-0.15	y{I}+i	y{L}+i	
133.32301	7.2	6/94	6.5%	?	?	?	?	
133.5876	1.1	9/94	0.7%	?	?	?	?	
133.74804	3.0	6/94	2.7%	?	?	?	?	
134.02699	1.4	12/94	0.8%	?	?	?	?	
134.06	11.5	13/94	1.8%	134.06004	0.3	b{AP}-H2O-NH3		
134.0811	0.9	11/94	0.6%	?	?	?	?	
134.08923	10.4	26/94	4.7%	?	?	?	?	
134.09638	2.4	7/94	0.7%	134.09643	0.37	a{PV}-H2O-NH3		
134.17376	3.6	6/94	3.2%	?	?	?	?	
134.60173	3.3	6/94	3.1%	?	?	?	?	
134.99323	9.3	4/94	1.1%	?	?	?	?	
135.03015	2.6	6/94	1.6%	?	?	?	?	
135.03118	2.3	3/94	1.5%	?	?	?	?	
135.08038	2.4	22/94	2.4%	?	?	?	?	
135.09023	1.0	10/94	0.7%	?	?	?	?	
135.10153	2.0	14/94	1.3%	?	?	?	?	
135.11674	5.2	18/94	2.9%	?	?	?	?	
135.46506	4.2	6/94	3.8%	?	?	?	?	
135.66045	10.3	3/94	8.8%	?	?	?	?	
135.66104	9.3	3/94	9.0%	?	?	?	?	
135.7299	22.9	3/94	18.6%	?	?	?	?	
135.75182	6.9	4/94	8.1%	?	?	?	?	
135.79877	2.7	4/94	2.6%	?	?	?	?	
135.89893	3.8	6/94	3.5%	?	?	?	?	
136.03924	2.9	20/94	1.0%	?	?	?	?	
136.06174	8.4	37/94	17.0%	?	?	?	?	
136.06466	4.0	6/94	0.8%	?	?	?	?	
136.07004	3.6	21/94	1.9%	?	?	?	?	
136.07566	755.5	94/94	59.9%	136.07569	0.22	IY	b{AV}-H2O-NH3, b{GI}-H2O-NH3, b{GL}-H2O-NH3, a{PT}-H2O-NH3	COM, IMM
136.08067	0.5	7/94	0.9%	?	?	?	?	
