mean monoisotopic m/z	average intensity	ms runs	percentage of spectra	theoretical m/z	delta PPM	primary identification	other identifications	labels
147.1128	920.3	4/4	69.0%	147.1128	0.0	y(K)	IK+CO+H2O	
148.11618	34.6	3/4	16.8%	148.11615	-0.2	y(K)+i	IK+CO+H2O+i	
149.02333	17.4	3/4	1.0%	149.02332	-0.07	C8H5O3		
149.04486	16.3	3/4	4.2%	149.04603	7.85	b(M[Oxidation])+i	y(M[Oxidation])-H2O+i	
149.07432	5.7	3/4	1.9%	?	?	?	?	
153.06582	14.5	3/4	4.6%	153.06585	0.2	a(NT)-H2O-NH3	a(QS)-H2O-NH3, a(AGS)-H2O-NH3, a(GGT)-H2O-NH3	
153.10223	7.0	3/4	2.9%	153.10224	0.07	b(AV)-H2O	b(GI)-H2O, b(GL)-H2O, a(PT)-H2O, a(KS)-H2O-NH3	
154.09748	3.8	3/4	1.3%	154.09749	0.06	a(AQ)-H2O	a(AAG)-H2O	
155.08146	119.2	4/4	30.8%	155.0815	0.26	b(GP)	a(AE)-H2O, a(AQ)-NH3, b(AT)-H2O, y(GP)-H2O, a(AAG)-NH3	
155.11786	34.3	4/4	13.0%	155.11789	0.19	a(AK)-NH3	a(IS)-H2O, a(LS)-H2O, a(TV)-H2O	
156.07677	21.6	4/4	7.3%	156.07675	-0.13	y(H)	IH+CO+H2O, a(NS)-H2O, a(GGS)-H2O	
157.06081	17.4	4/4	7.8%	157.06077	-0.25	a(DS)-H2O	a(NS)-NH3, b(SS)-H2O, a(GGS)-NH3	
157.09709	69.2	4/4	18.6%	157.09715	0.38	b(GV)	a(PS), y(GV)-H2O, a(TT)-H2O	
157.10887	27.7	3/4	12.7%	157.10839	-3.06	b(R)	IR+CO, y(R)-H2O, IK+CO+H2ON2-H2O	
157.13357	131.2	4/4	27.4%	157.13354	-0.19	a(AI)	a(AL)	
158.0924	137.2	4/4	37.7%	158.0924	0.0	a(AN)	a(GQ), a(AGG), y(R)-NH3, IR+CO+H2O-NH3, IK+CO+H2ON2-NH3	
159.07649	86.8	4/4	26.2%	159.07642	-0.44	a(AD)	b(AS), a(EG), b(GT), y(AS)-H2O, y(GT)-H2O	
159.09164	146.8	4/4	25.2%	159.09167	0.19	IW	a(FG)-H2O, a(GMR)^2	IMM
159.11283	42.0	4/4	10.4%	159.1128	-0.19	a(SV)		
161.0921	15.9	4/4	3.6%	161.09207	-0.19	y(AA)	a(ST)	
165.10227	12.2	4/4	3.2%	165.10224	-0.18	b(AK)-H2O-NH3	a(IN)-H2O-NH3, a(LN)-H2O-NH3, a(QV)-H2O-NH3, a(AGV)-H2O-NH3, a(GGI)-H2O-NH3, a(GGL)-H2O-NH3	
166.06117	57.6	3/4	20.8%	166.0611	-0.42	a(NN)-H2O-NH3	a(GGN)-H2O-NH3	
167.05546	21.5	4/4	5.0%	167.05502	-2.63	C5H11O6		
167.08144	43.7	4/4	14.9%	167.0815	0.36	a(DP)-H2O	a(NP)-NH3, b(PS)-H2O, a(GGP)-NH3, a(QT)-H2O-NH3, a(AAS)-H2O-NH3, a(AGT)-H2O-NH3	
167.09298	10.6	3/4	4.8%	167.09274	-1.44	a(GH)		
169.06077	22.8	4/4	7.0%	169.06077	0.0	b(AD)-H2O	b(AN)-NH3, b(EG)-H2O, b(GQ)-NH3, b(AGG)-NH3, y(AN)-H2O-NH3, y(GQ)-H2O-NH3, y(AGG)-H2O-NH3, a(GSS)-H2O-NH3	
169.09715	75.0	4/4	23.7%	169.09715	0.0	b(AP)	y(AP)-H2O, a(DV)-H2O, b(GK)-NH3, a(NV)-NH3, b(SV)-H2O, a(AAA)-NH3, a(GGV)-NH3, y(GK)-H2O-NH3	
169.13353	79.9	4/4	24.7%	169.13354	0.06	a(PV)	a(IT)-H2O, a(LT)-H2O	
170.06005	30.5	4/4	6.3%	170.06004	-0.06	b(W)-NH3	IW+CO-NH3, y(W)-H2O-NH3, b(FG)-H2O-NH3	
170.09236	5.0	3/4	2.6%	170.0924	0.24	a(NT)-H2O	a(QS)-H2O, a(AGS)-H2O, a(GGT)-H2O	
171.07641	36.1	4/4	15.9%	171.07642	0.06	a(DT)-H2O	a(ES)-H2O, a(NT)-NH3, a(QS)-NH3, b(ST)-H2O, a(AGS)-NH3, a(GGT)-NH3	
